Starting new run: Mon Jun 12 16:15:55 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;Kx;KxCam;systemTime
0.000000;-0.306796;-0.000000;0.000000;0.021905;0.000000;38.500000;101.500000;230.500000;100.500000;0.000091;0.012880;0.005208;-1.469499;-0.138188;Mon Jun 12 16:16:13 2023
0.003068;0.306796;0.003068;0.306796;0.021936;0.000000;38.500000;100.500000;231.500000;101.500000;-0.000090;-0.025693;-0.005181;0.445341;-1.083264;Mon Jun 12 16:16:13 2023
0.009204;0.613592;0.006136;0.306796;0.021997;0.000000;38.500000;101.500000;231.500000;102.500000;-0.000090;0.000000;-0.005181;1.987270;-0.996513;Mon Jun 12 16:16:13 2023
0.012272;0.306796;0.006136;0.000000;0.022059;0.000000;38.500000;101.500000;231.500000;100.500000;0.000090;0.025622;0.005181;1.614083;-0.125397;Mon Jun 12 16:16:13 2023
0.006136;-0.613592;0.003068;-0.306796;0.022089;0.000000;38.500000;102.500000;230.500000;101.500000;0.000091;0.000067;0.005208;-1.719008;0.544424;Mon Jun 12 16:16:13 2023
0.003068;-0.306796;-0.000000;-0.306796;0.022089;0.000000;37.500000;102.500000;230.500000;100.500000;0.000181;0.012741;0.010362;-0.570211;0.620620;Mon Jun 12 16:16:13 2023
0.000000;-0.306796;-0.003068;-0.306796;0.022059;0.000000;37.500000;101.500000;231.500000;100.500000;0.000090;-0.012873;0.005155;-0.694712;0.529648;Mon Jun 12 16:16:13 2023
0.003068;0.306796;-0.000000;0.306796;0.022059;0.000000;37.500000;101.500000;231.500000;101.500000;0.000000;-0.012741;0.000000;0.463598;-1.006993;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022059;0.000000;38.500000;100.500000;231.500000;101.500000;-0.000090;-0.012806;-0.005181;-0.053169;-0.254706;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022059;0.000000;38.500000;101.500000;231.500000;101.500000;0.000000;0.012804;0.000000;-0.053169;-0.144145;Mon Jun 12 16:16:13 2023
0.006136;0.306796;0.003068;0.306796;0.022089;0.000000;37.500000;101.500000;230.500000;101.500000;0.000000;0.000000;0.000000;0.588099;-0.973733;Mon Jun 12 16:16:13 2023
0.006136;0.000000;0.003068;0.000000;0.022120;0.000000;38.500000;101.500000;230.500000;100.500000;0.000091;0.012869;0.005208;0.071057;-0.159510;Mon Jun 12 16:16:13 2023
0.003068;-0.306796;-0.000000;-0.306796;0.022120;0.000000;37.500000;101.500000;230.500000;101.500000;0.000000;-0.012868;0.000000;-0.570486;0.505538;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022120;0.000000;38.500000;101.500000;231.500000;101.500000;0.000000;0.000000;0.000000;-0.053718;-0.197848;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022120;0.000000;37.500000;101.500000;230.500000;100.500000;0.000090;0.012800;0.005181;-0.053718;-0.140463;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022120;0.000000;37.500000;101.500000;230.500000;101.500000;0.000000;-0.012801;0.000000;-0.053718;-0.250988;Mon Jun 12 16:16:13 2023
0.006136;0.306796;0.003068;0.306796;0.022151;0.000000;37.500000;101.500000;231.500000;101.500000;0.000000;0.000000;0.000000;0.587550;-0.974282;Mon Jun 12 16:16:13 2023
0.003068;-0.306796;-0.000000;-0.306796;0.022151;0.000000;38.500000;101.500000;231.500000;101.500000;0.000000;0.000000;0.000000;-0.570760;0.558682;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022151;0.000000;37.500000;101.500000;230.500000;100.500000;0.000090;0.012799;0.005181;-0.053993;-0.140744;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022151;0.000000;38.500000;101.500000;231.500000;101.500000;0.000000;-0.012798;0.000000;-0.053993;-0.251251;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022151;0.000000;37.500000;101.500000;230.500000;101.500000;0.000000;0.000000;0.000000;-0.053993;-0.198122;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022151;0.000000;38.500000;101.500000;231.500000;101.500000;0.000000;0.000000;0.000000;-0.053993;-0.198122;Mon Jun 12 16:16:13 2023
0.003068;0.000000;0.003068;0.306796;0.022181;0.000000;38.500000;101.500000;231.500000;101.500000;0.000000;0.000000;0.000000;-0.830426;-0.974556;Mon Jun 12 16:16:13 2023
0.006136;0.306796;0.003068;0.000000;0.022212;0.000000;37.500000;102.500000;231.500000;101.500000;0.000090;0.012729;0.005155;1.343806;-0.160959;Mon Jun 12 16:16:13 2023
0.006136;0.000000;0.003068;0.000000;0.022243;0.000000;37.500000;102.500000;231.500000;100.500000;0.000180;0.012728;0.010309;0.069959;-0.157010;Mon Jun 12 16:16:13 2023
0.006136;0.000000;0.003068;0.000000;0.022273;0.000000;38.500000;101.500000;231.500000;101.500000;0.000000;-0.025456;0.000000;0.069685;-0.324248;Mon Jun 12 16:16:13 2023
0.003068;-0.306796;-0.000000;-0.306796;0.022273;0.000000;38.500000;101.500000;231.500000;101.500000;0.000000;0.000000;0.000000;-0.571858;0.557585;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022273;0.000000;37.500000;102.500000;230.500000;102.500000;0.000000;0.000000;0.000000;-0.055090;-0.199220;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022273;0.000000;38.500000;101.500000;231.500000;101.500000;0.000000;0.000000;0.000000;-0.055090;-0.199220;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022273;0.000000;38.500000;101.500000;230.500000;101.500000;0.000000;0.000000;0.000000;-0.055090;-0.199220;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022273;0.000000;37.500000;101.500000;231.500000;101.500000;0.000000;0.000000;0.000000;-0.055090;-0.199220;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022273;0.000000;38.500000;101.500000;231.500000;101.500000;0.000000;0.000000;0.000000;-0.055090;-0.199220;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022273;0.000000;36.500000;100.500000;231.500000;101.500000;-0.000090;-0.012661;-0.005128;-0.055090;-0.255984;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022273;0.000000;37.500000;101.500000;230.500000;101.500000;0.000000;0.012662;0.000000;-0.055090;-0.146659;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022273;0.000000;37.500000;101.500000;231.500000;101.500000;0.000000;0.000000;0.000000;-0.055090;-0.199220;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022273;0.000000;38.500000;101.500000;231.500000;100.500000;0.000090;0.012792;0.005181;-0.055090;-0.141871;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022273;0.000000;37.500000;101.500000;231.500000;101.500000;0.000000;-0.012791;0.000000;-0.055090;-0.252320;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022273;0.000000;38.500000;101.500000;230.500000;101.500000;0.000000;0.000000;0.000000;-0.055090;-0.199220;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022273;0.000000;37.500000;101.500000;231.500000;101.500000;0.000000;0.000000;0.000000;-0.055090;-0.199220;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022273;0.000000;37.500000;101.500000;232.500000;101.500000;0.000000;0.000000;0.000000;-0.055090;-0.199220;Mon Jun 12 16:16:13 2023
0.003068;0.000000;-0.000000;0.000000;0.022273;0.000000;38.500000;101.500000;231.500000;100.500000;0.000090;0.012791;0.005181;-0.055090;-0.141875;Mon Jun 12 16:16:13 2023
