Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Mon Jun 26 13:18:06 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaDotCamLP;alphaDotCamButterworth;camControl;y0;y1;y2;x0;x1;x2;x3;systemTime
0.003068;0.000000;-0.015340;0.000000;0.139163;0.000000;47.500000;91.500000;234.500000;92.500000;-0.005348;0.802058;-0.306392;1;-0.000936;-0.506660;-0.018111;0.003826;0;0.003826;0.075637;0.085198;0.802058;-1.604098;0.806393;-0.806372;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.015340;0.000000;0.139163;0.000000;47.500000;91.500000;235.500000;93.500000;-0.010638;-0.793535;-0.609507;1;-0.000936;-0.506660;-0.173196;-0.102361;0;-0.102361;0.003826;0.075637;-0.793535;0.802058;-1.604098;0.806393;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.015340;0.000000;0.138958;0.000000;47.500000;91.500000;234.500000;92.500000;-0.005348;0.793531;-0.306392;1;-0.000732;-0.504366;0.020149;-0.177856;0;-0.177856;-0.102361;0.003826;0.793531;-0.793535;0.802058;-1.604098;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.015340;0.000000;0.138958;0.000000;48.500000;90.500000;234.500000;92.500000;-0.010752;-0.810679;-0.616060;1;-0.000732;-0.504366;-0.146016;-0.191035;0;-0.191035;-0.177856;-0.102361;-0.810679;0.793531;-0.793535;0.802058;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.015340;0.000000;0.138754;0.000000;48.500000;92.500000;234.500000;91.500000;0.005376;2.419222;0.308039;1;-0.000527;-0.508364;0.367031;-0.125809;0;-0.125809;-0.191035;-0.177856;2.419222;-0.810679;0.793531;-0.793535;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.015340;0.000000;0.138754;0.000000;47.500000;91.500000;235.500000;93.500000;-0.010638;-2.402099;-0.609507;1;-0.000527;-0.508364;-0.186795;0.013318;0;0.013318;-0.125809;-0.191035;-2.402099;2.419222;-0.810679;0.793531;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.015340;0.000000;0.138549;0.000000;46.500000;92.500000;235.500000;93.500000;-0.005291;0.802027;-0.303149;1;-0.000322;-0.503957;0.010970;0.119907;0;0.119907;0.013318;-0.125809;0.802027;-2.402099;2.419222;-0.810679;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.015340;0.000000;0.138549;0.000000;47.500000;91.500000;234.500000;93.500000;-0.010695;-0.810564;-0.612766;1;-0.000322;-0.503957;-0.153337;0.102527;0;0.102527;0.119907;0.013318;-0.810564;0.802027;-2.402099;2.419222;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.015340;0.000000;0.138345;0.000000;48.500000;92.500000;235.500000;93.500000;-0.005348;0.802060;-0.306392;1;-0.000118;-0.505842;0.037742;0.012889;0;0.012889;0.102527;0.119907;0.802060;-0.810564;0.802027;-2.402099;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.015340;0.000000;0.138345;0.000000;48.500000;92.500000;234.500000;93.500000;-0.005376;-0.004312;-0.308039;1;-0.000118;-0.505842;0.029332;-0.051272;0;-0.051272;0.012889;0.102527;-0.004312;0.802060;-0.810564;0.802027;Mon Jun 26 13:18:15 2023
0.000000;-0.230097;-0.015340;0.000000;0.138140;0.000000;47.500000;92.500000;234.500000;93.500000;-0.005348;0.004312;-0.306392;1;-0.858646;-1.056203;0.024328;-0.048247;0;-0.048247;-0.051272;0.012889;0.004312;-0.004312;0.802060;-0.810564;Mon Jun 26 13:18:15 2023
0.000000;-0.230097;-0.015340;0.000000;0.138140;0.000000;48.500000;90.500000;235.500000;92.500000;-0.010695;-0.802029;-0.612766;1;-0.858646;-1.056203;-0.140944;-0.020680;0;-0.020680;-0.048247;-0.051272;-0.802029;0.004312;-0.004312;0.802060;Mon Jun 26 13:18:15 2023
0.003068;0.230097;-0.012272;0.230097;0.137976;0.000000;47.500000;92.500000;234.500000;93.500000;-0.005348;0.802026;-0.306392;1;0.367771;-0.137953;0.047650;-0.022462;0;-0.022462;-0.020680;-0.048247;0.802026;-0.802029;0.004312;-0.004312;Mon Jun 26 13:18:15 2023
0.003068;0.230097;-0.012272;0.230097;0.137976;0.000000;48.500000;92.500000;234.500000;93.500000;-0.005376;-0.004312;-0.308039;1;0.367771;-0.137953;0.037258;-0.028489;0;-0.028489;-0.022462;-0.020680;-0.004312;0.802026;-0.802029;0.004312;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.009204;0.230097;0.137854;0.000000;47.500000;91.500000;234.500000;93.500000;-0.010695;-0.797706;-0.612766;1;-0.383202;-0.693494;-0.129735;-0.014960;0;-0.014960;-0.028489;-0.022462;-0.797706;-0.004312;0.802026;-0.802029;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.009204;0.230097;0.137854;0.000000;47.500000;92.500000;234.500000;93.500000;-0.005348;0.802036;-0.306392;1;-0.383202;-0.693494;0.056619;-0.013393;0;-0.013393;-0.014960;-0.028489;0.802036;-0.797706;-0.004312;0.802026;Mon Jun 26 13:18:15 2023
0.006136;0.230097;-0.009204;0.000000;0.137731;0.000000;48.500000;92.500000;234.500000;93.500000;-0.005376;-0.004312;-0.308039;1;0.849032;0.427062;0.044433;-0.013719;0;-0.013719;-0.013393;-0.014960;-0.004312;0.802036;-0.797706;-0.004312;Mon Jun 26 13:18:15 2023
